asn,degree
10481,40
13045,40
21367,40
24679,40
28792,40
34788,40
35258,40
35826,40
39878,40
48347,40
48362,40
50083,40
59796,40
198385,40
134809,40
5610,39
1140,39
8402,39
8741,39
12479,39
12931,39
20633,39
20686,39
37349,39
41678,39
42344,39
49964,39
56329,39
58689,39
58715,39
61081,39
1668,38
5459,38
7850,38
8789,38
9022,38
12871,38
20836,38
21161,38
24631,38
24889,38
35699,38
35819,38
47998,38
51184,38
59659,38
62023,38
62240,38
198335,38
2607,37
3112,37
6057,37
8591,37
9070,37
12348,37
21195,37
22645,37
24582,37
30933,37
31103,37
38719,37
42927,37
50581,37
58002,37
197965,37
203421,37
203568,37
2860,36
6503,36
12923,36
16316,36
20849,36
29933,36
30766,36
38930,36
59395,36
197692,36
201213,36
137,35
3737,35
8612,35
15693,35
20830,35
25229,35
39090,35
43341,35
55330,35
57420,35
61438,35
197540,35
2588,34
4058,34
8636,34
11260,34
12519,34
13004,34
15456,34
15935,34
17072,34
17511,34
17547,34
20783,34
21476,34
26592,34
28130,34
29624,34
31334,34
1237,34
49360,34
50295,34
56550,34
60447,34
198570,34
200924,34
6886,33
8823,33
9790,33
14877,33
20792,33
29462,33
34758,33
38794,33
39560,33
6703,33
49367,33
60868,33
62336,33
197985,33
201535,33
2857,32
4768,32
6736,32
6846,32
7459,32
7782,32
8251,32
12406,32
12586,32
20565,32
25192,32
33808,32
42004,32
50072,32
50448,32
51862,32
4787,32
200062,32
855,31
2529,31
6855,31
9264,31
9829,31
14551,31
15493,31
262394,31
21351,31
23930,31
23944,31
29009,31
29465,31
5384,31
34624,31
37084,31
49009,31
51050,31
59469,31
198967,31
262605,30
132602,30
5488,30
6799,30
7992,30
9821,30
15497,30
15836,30
21453,30
24088,30
28573,30
28657,30
32354,30
39087,30
42707,30
44974,30
51159,30
197219,30
4618,29
6505,29
8501,29
8779,29
9534,29
10835,29
16876,29
17477,29
21928,29
28330,29
29404,29
31263,29
37680,29
39216,29
43668,29
58299,29
262794,28
1653,28
13576,28
15994,28
18779,28
23033,28
35425,28
38456,28
38731,28
42000,28
43660,28
44684,28
45204,28
58656,28
63242,28
262792,27
262691,27
13046,27
13184,27
15296,27
16083,27
24955,27
28773,27
28884,27
39153,27
39405,27
49800,27
264005,27
262700,26
262983,26
1880,26
2614,26
3308,26
3605,26
5738,26
6315,26
20634,26
25248,26
30990,26
40788,26
41691,26
42010,26
48666,26
53066,26
57902,26
199422,26
262802,25
262968,25
265306,25
262981,25
9158,25
9808,25
10098,25
11051,25
11556,25
20810,25
29691,25
31472,25
33445,25
33871,25
42610,25
44141,25
132454,25
45671,25
50957,25
58273,25
2734,24
6471,24
7604,24
8047,24
11845,24
16245,24
17806,24
21309,24
25459,24
37153,24
48159,24
48161,24
48918,24
49895,24
52694,24
327782,24
197133,24
3329,23
3663,23
4773,23
8190,23
10396,23
10753,23
13189,23
16066,23
25148,23
26935,23
31034,23
35332,23
39522,23
43022,23
44494,23
53166,23
766,22
132167,22
132267,22
2486,22
3238,22
134708,22
4150,22
5408,22
6772,22
8048,22
9125,22
12290,22
12676,22
2514,22
15401,22
18119,22
24323,22
4270,22
28907,22
29551,22
32181,22
34549,22
40528,22
42845,22
49808,22
51782,22
12570,21
12975,21
13489,21
15433,21
15440,21
15685,21
15808,21
21502,21
24835,21
30036,21
5429,21
34594,21
34700,21
38496,21
38883,21
57809,21
197696,21
1798,20
1887,20
3130,20
8903,20
8997,20
9246,20
9500,20
12703,20
16010,20
17439,20
18200,20
20207,20
21050,20
25525,20
29124,20
29655,20
30972,20
35393,20
39442,20
39931,20
42313,20
43289,20
44395,20
44889,20
45194,20
7543,20
45437,20
57119,20
58321,20
58923,20
60032,20
60341,20
199125,20
2586,20
3330,19
4922,19
8265,19
10084,19
12597,19
12778,19
15525,19
2602,19
16004,19
16591,19
19016,19
20299,19
20900,19
22300,19
23855,19
24971,19
25002,19
25019,19
28768,19
29695,19
30848,19
30880,19
34572,19
35612,19
36874,19
37002,19
39608,19
41653,19
42093,19
44267,19
48072,19
49594,19
51405,19
59362,19
198551,19
200161,19
41881,19
6856,18
8788,18
9085,18
9443,18
11071,18
11550,18
12835,18
14754,18
17978,18
21042,18
21547,18
24183,18
26803,18
27947,18
29449,18
31214,18
33588,18
39605,18
39636,18
42579,18
43139,18
44327,18
47866,18
47927,18
50620,18
54182,18
198682,18
202096,18
271,17
2500,17
4760,17
6734,17
8896,17
8990,17
9051,17
9824,17
11081,17
12735,17
12902,17
13121,17
16300,17
16363,17
17501,17
21183,17
21409,17
22742,17
24776,17
25003,17
29056,17
29246,17
29422,17
29614,17
31115,17
31117,17
31323,17
31564,17
32440,17
33835,17
33930,17
34056,17
34119,17
36149,17
39444,17
41153,17
47217,17
47223,17
47406,17
48642,17
48885,17
49405,17
50628,17
56911,17
57381,17
59689,17
59827,17
199937,17
200043,17
200995,17
203201,17
1120,16
2018,16
6412,16
6758,16
7490,16
7908,16
10030,16
12333,16
15626,16
16322,16
17645,16
17705,16
24951,16
28878,16
29107,16
29605,16
31736,16
34659,16
34803,16
35012,16
35236,16
35592,16
35598,16
35985,16
38220,16
39102,16
43317,16
43948,16
44030,16
44158,16
45305,16
48500,16
48971,16
50473,16
50903,16
51083,16
55350,16
55666,16
56910,16
57187,16
61287,16
197204,16
197731,16
200780,16
3367,15
135025,15
5403,15
5467,15
7057,15
7106,15
7122,15
8310,15
8784,15
9186,15
10242,15
12687,15
13127,15
14051,15
15517,15
16629,15
17828,15
27696,15
27750,15
29170,15
30722,15
31257,15
35369,15
35539,15
35600,15
39045,15
39545,15
41554,15
42518,15
44123,15
44160,15
45117,15
47645,15
47814,15
49100,15
49835,15
50522,15
50597,15
50858,15
50986,15
55685,15
58308,15
64073,15
197075,15
197422,15
198290,15
200050,15
202022,15
205555,15
28717,15
2510,14
9026,14
9137,14
9297,14
13354,14
15774,14
15826,14
16160,14
17623,14
24203,14
24611,14
24638,14
27647,14
28941,14
29414,14
31514,14
31655,14
34456,14
34606,14
35434,14
36866,14
42676,14
42973,14
48943,14
48964,14
49909,14
52048,14
54054,14
57734,14
58314,14
60940,14
63969,14
197556,14
199150,14
199803,14
4851,14
196621,13
3250,13
3597,13
4764,13
6568,13
6700,13
7438,13
8241,13
8445,13
9370,13
1741,13
11830,13
12338,13
12826,13
13188,13
13657,13
15595,13
17356,13
21294,13
23688,13
24863,13
25513,13
25532,13
30988,13
33554,13
34251,13
34304,13
34718,13
34977,13
35575,13
38285,13
38623,13
38740,13
39010,13
28855,13
42669,13
44219,13
44334,13
49342,13
51892,13
59414,13
59622,13
60486,13
60876,13
62040,13
197826,13
197922,13
200799,13
203815,13
203969,13
393713,12
1955,12
2613,12
3790,12
4007,12
4538,12
5495,12
5538,12
6122,12
7065,12
8390,12
8664,12
8752,12
8916,12
9038,12
9039,12
11259,12
11290,12
11814,12
12353,12
12605,12
12764,12
12998,12
13105,12
15716,12
15744,12
16246,12
16302,12
16342,12
18451,12
21277,12
21755,12
23881,12
24689,12
25447,12
28762,12
29287,12
29571,12
31076,12
31148,12
31272,12
31549,12
31662,12
36416,12
38442,12
39264,12
39684,12
39729,12
39811,12
41562,12
41696,12
42145,12
42910,12
43930,12
44285,12
46609,12
48239,12
48648,12
49640,12
49675,12
49779,12
49784,12
51758,12
8893,12
57118,12
59583,12
197140,12
197551,12
199860,12
200077,12
2044,11
3253,11
3661,11
4795,11
5009,11
6821,11
7506,11
8194,11
9146,11
9208,11
10881,11
11342,11
12618,11
13097,11
13331,11
14080,11
2495,11
16409,11
16724,11
17559,11
18002,11
18786,11
19406,11
20631,11
21232,11
21379,11
21446,11
23951,11
23966,11
24399,11
25255,11
25415,11
25482,11
29644,11
32244,11
36916,11
39642,11
39791,11
41364,11
41435,11
41549,11
42673,11
43957,11
45055,11
45838,11
49037,11
49813,11
51074,11
51395,11
9541,11
198507,11
4818,11
199319,11
207013,11
133612,10
136019,10
6621,10
7594,10
8660,10
8680,10
11776,10
12143,10
12297,10
12332,10
12392,10
15754,10
15962,10
15964,10
16019,10
16095,10
16175,10
16242,10
20612,10
20910,10
21299,10
3816,10
23184,10
24105,10
24122,10
24680,10
24806,10
25375,10
25540,10
28875,10
28999,10
29649,10
30764,10
30786,10
30851,10
31370,10
31479,10
31615,10
35193,10
35548,10
35847,10
36907,10
37204,10
38949,10
39288,10
39816,10
42760,10
42893,10
43192,10
43205,10
43260,10
43612,10
44581,10
45187,10
47408,10
47720,10
47794,10
48945,10
49120,10
53591,10
58224,10
58436,10
59890,10
63961,10
201877,10
133326,10
224,9
1835,9
133749,9
4704,9
6713,9
7477,9
7679,9
8453,9
9092,9
9129,9
10094,9
10204,9
11340,9
11888,9
12418,9
12455,9
133324,9
15108,9
15659,9
15699,9
15738,9
16030,9
19165,9
20655,9
20880,9
21430,9
21570,9
22355,9
23308,9
24233,9
25424,9
25472,9
25490,9
26088,9
27768,9
28886,9
28891,9
29084,9
29492,9
31126,9
5416,9
33247,9
33576,9
34187,9
34547,9
34660,9
34875,9
35362,9
35475,9
35833,9
35843,9
36932,9
37358,9
37457,9
41998,9
42549,9
43709,9
45510,9
47377,9
49420,9
49588,9
49743,9
49867,9
50810,9
8515,9
51263,9
51458,9
8749,9
53610,9
55423,9
55555,9
56679,9
1930,9
58473,9
59761,9
62874,9
63927,9
198279,9
198288,9
199805,9
199811,9
201505,9
395570,9
262182,9
3,8
250,8
2716,8
396097,8
3243,8
3855,8
6083,8
1213,8
7718,8
8364,8
8376,8
8412,8
9008,8
9310,8
12307,8
13041,8
14103,8
15022,8
15782,8
15974,8
16073,8
16075,8
16154,8
16191,8
16218,8
17934,8
21500,8
23252,8
24550,8
24768,8
26210,8
27364,8
27665,8
27678,8
27742,8
27884,8
29125,8
31036,8
31641,8
31692,8
31712,8
5397,8
5432,8
33362,8
33762,8
33765,8
33874,8
34279,8
132040,8
35665,8
36731,8
37315,8
37611,8
38657,8
39869,8
41034,8
41046,8
41164,8
41360,8
41446,8
42005,8
44068,8
45184,8
45267,8
45494,8
47165,8
48294,8
48848,8
49242,8
49828,8
51155,8
51269,8
51828,8
52323,8
54198,8
9127,8
55944,8
57068,8
57723,8
60497,8
62141,8
196714,8
197216,8
198249,8
199248,8
199361,8
201806,8
12912,8
16696,8
33991,8
134743,8
132268,7
135150,7
5435,7
5486,7
6802,7
7690,7
8201,7
8240,7
9340,7
11976,7
12361,7
12555,7
12611,7
12996,7
14988,7
16652,7
17625,7
17732,7
18037,7
3245,7
20815,7
20845,7
20875,7
20986,7
21171,7
21274,7
23923,7
24187,7
328145,7
24634,7
24651,7
24796,7
27887,7
28840,7
28972,7
28978,7
29003,7
29062,7
30170,7
30640,7
32329,7
33139,7
34244,7
34568,7
35271,7
35361,7
36930,7
37063,7
37168,7
37417,7
37542,7
37640,7
37670,7
38026,7
38278,7
39211,7
39375,7
39505,7
39904,7
41872,7
41966,7
42303,7
42306,7
42695,7
42772,7
43171,7
43284,7
43554,7
44092,7
44306,7
44479,7
44994,7
45650,7
45828,7
46375,7
47438,7
48039,7
48417,7
48832,7
49029,7
49140,7
49362,7
49931,7
50087,7
50153,7
50993,7
51290,7
51551,7
51873,7
55850,7
57795,7
59587,7
59891,7
60257,7
60924,7
61221,7
196670,7
197451,7
132255,7
200155,7
202194,7
9601,7
132245,6
2107,6
264498,6
3226,6
135099,6
4474,6
4685,6
5547,6
6360,6
6400,6
6881,6
8518,6
8542,6
8771,6
9260,6
10102,6
131310,6
11478,6
12346,6
12556,6
12565,6
13287,6
13319,6
133579,6
2527,6
15982,6
16178,6
2847,6
17506,6
17622,6
18103,6
18150,6
18931,6
21034,6
24592,6
24641,6
24958,6
25106,6
25234,6
27216,6
27843,6
27983,6
28890,6
29066,6
29086,6
29134,6
29305,6
29319,6
30619,6
30793,6
31229,6
32277,6
32437,6
33480,6
33771,6
34146,6
34154,6
34225,6
35047,6
35761,6
36868,6
36884,6
37006,6
37172,6
37294,6
37305,6
38639,6
39020,6
41103,6
41601,6
41710,6
42031,6
42668,6
42763,6
43966,6
44712,6
47394,6
47887,6
48089,6
48464,6
48768,6
51265,6
51407,6
51669,6
52191,6
55561,6
58620,6
60277,6
60749,6
62000,6
62214,6
62282,6
196763,6
197197,6
199484,6
37183,6
2128,5
133959,5
3221,5
3324,5
135328,5
4508,5
5378,5
6798,5
6905,5
7514,5
7522,5
8346,5
8477,5
8820,5
10352,5
11492,5
12066,5
12252,5
12303,5
12754,5
12772,5
12824,5
12990,5
13065,5
13243,5
2515,5
15419,5
15734,5
15735,5
15806,5
15954,5
18210,5
19397,5
3331,5
20723,5
21155,5
21176,5
21246,5
21334,5
24176,5
24521,5
25145,5
25515,5
25660,5
28006,5
28812,5
28857,5
28885,5
29321,5
29512,5
29680,5
30689,5
31017,5
31246,5
31357,5
31669,5
31725,5
32204,5
5438,5
33361,5
33788,5
33823,5
34171,5
34471,5
34764,5
34974,5
35226,5
35613,5
35614,5
36914,5
36926,5
36991,5
37363,5
37403,5
37519,5
37545,5
38511,5
38987,5
39449,5
39603,5
39756,5
39824,5
41073,5
41176,5
41495,5
41750,5
42109,5
42310,5
42596,5
42905,5
43097,5
43451,5
43733,5
44417,5
44451,5
44454,5
44507,5
45031,5
45118,5
45186,5
45230,5
45280,5
47680,5
47902,5
48695,5
48957,5
49223,5
49409,5
50084,5
50244,5
50287,5
50599,5
196739,5
51430,5
51815,5
52233,5
55352,5
55536,5
55674,5
55915,5
56030,5
56172,5
56300,5
56515,5
58085,5
58466,5
58704,5
60362,5
61044,5
61138,5
62059,5
62078,5
62402,5
133075,5
327750,5
327754,5
327795,5
196797,5
196890,5
196957,5
197036,5
198230,5
199298,5
199516,5
12145,5
133421,5
19171,5
262199,5
131717,5
131755,5
327761,4
1742,4
2715,4
4647,4
5505,4
6147,4
6893,4
7511,4
7602,4
7712,4
8508,4
8511,4
8535,4
8677,4
8687,4
8697,4
8744,4
9021,4
9136,4
9351,4
9605,4
9927,4
10299,4
11123,4
12324,4
12430,4
12466,4
12502,4
12683,4
12709,4
12767,4
12775,4
12929,4
12978,4
12985,4
13091,4
15397,4
15425,4
15502,4
15706,4
15844,4
15945,4
17707,4
18809,4
18997,4
19255,4
20312,4
20657,4
21341,4
21513,4
23419,4
23661,4
23678,4
23752,4
24257,4
24812,4
25094,4
25441,4
25521,4
26094,4
27814,4
28000,4
28683,4
28849,4
28851,4
28859,4
28906,4
28908,4
29069,4
29100,4
29194,4
29266,4
29442,4
29562,4
30600,4
30798,4
30923,4
30962,4
30971,4
30992,4
30999,4
263824,4
33923,4
33983,4
34093,4
34218,4
34409,4
35007,4
35457,4
35467,4
35640,4
35816,4
36947,4
36953,4
37199,4
49893,4
37266,4
37451,4
37515,4
37618,4
38566,4
38955,4
39029,4
39093,4
39151,4
39861,4
39906,4
40029,4
40076,4
41026,4
41096,4
41477,4
41833,4
41960,4
42968,4
43091,4
43118,4
43320,4
43406,4
43413,4
43557,4
43599,4
43679,4
43848,4
43925,4
44134,4
44194,4
44375,4
44384,4
44724,4
44914,4
45037,4
45582,4
46309,4
47110,4
47116,4
47580,4
48142,4
48176,4
48344,4
48961,4
49115,4
49567,4
49677,4
49824,4
50113,4
50463,4
50661,4
50821,4
50864,4
50989,4
51744,4
51929,4
55359,4
56402,4
57169,4
59970,4
132933,4
60563,4
61211,4
61275,4
61296,4
61349,4
61468,4
62250,4
62310,4
62365,4
63270,4
196881,4
197343,4
197480,4
198622,4
199081,4
199339,4
200539,4
200966,4
201730,4
327813,4
134413,4
62455,4
42163,4
2,3
262249,3
557,3
3450,3
7155,3
7247,3
8271,3
8345,3
8439,3
8585,3
8586,3
8728,3
8890,3
9080,3
9482,3
9506,3
10003,3
10269,3
196750,3
10778,3
11139,3
11170,3
12177,3
12334,3
131322,3
12847,3
12905,3
12946,3
13039,3
133334,3
393275,3
14117,3
15450,3
15471,3
15765,3
16110,3
16190,3
16202,3
16296,3
16391,3
16842,3
17816,3
17970,3
18126,3
18566,3
19905,3
20255,3
20694,3
20904,3
20926,3
21211,3
21479,3
22724,3
22908,3
23620,3
23783,3
24229,3
24400,3
24751,3
24962,3
25139,3
26785,3
27668,3
27882,3
28103,3
28738,3
28931,3
29244,3
29600,3
30362,3
31452,3
31494,3
31519,3
33567,3
33796,3
34080,3
34248,3
34267,3
34362,3
34513,3
34676,3
34688,3
34814,3
34960,3
35063,3
35140,3
35199,3
35371,3
35584,3
36965,3
37228,3
37577,3
37693,3
38457,3
38629,3
39074,3
39107,3
39205,3
39310,3
39777,3
41676,3
41704,3
41736,3
41828,3
41897,3
41937,3
42298,3
42560,3
42981,3
43384,3
43658,3
43940,3
44124,3
44381,3
44484,3
44489,3
44882,3
45025,3
45224,3
45335,3
45429,3
45942,3
46650,3
47697,3
48284,3
48309,3
