asn,degree
39923,65
42456,65
44788,65
48077,65
62586,65
62715,65
23756,65
28725,65
20577,65
54219,65
11835,65
9930,65
57821,65
2711,64
9924,64
23197,64
27552,64
30925,64
36086,64
60822,64
12399,64
20647,64
45287,64
47169,64
48166,64
48200,64
61157,64
8151,64
15763,64
31250,64
34087,64
34968,64
63399,64
8437,64
50952,64
5518,64
263276,64
37474,63
31510,63
39704,63
42652,63
49535,63
59865,63
22561,63
28263,63
25408,63
43061,62
59624,62
8399,62
13002,62
20278,62
35366,62
39591,62
39686,62
58291,62
9875,62
12312,62
15377,62
18379,62
45298,62
48293,62
201214,62
16591,62
49685,62
57634,62
132016,62
11014,62
23815,61
6057,61
8462,61
15542,61
15576,61
19024,61
20857,61
20886,61
20911,61
27313,61
28663,61
59545,61
199837,61
1136,61
15879,61
8763,61
20546,61
38320,61
38516,61
39396,61
58376,61
30419,61
62713,61
262632,61
28210,61
52871,61
52925,61
262740,61
262760,61
41798,61
62,60
8839,60
17378,60
25151,60
37187,60
42841,60
44066,60
50352,60
132203,60
198721,60
199547,60
200794,60
9228,60
13124,60
38769,60
47692,60
39637,60
202932,60
30517,60
7725,60
11796,59
6768,59
8100,59
8368,59
8632,59
12322,59
15966,59
32748,59
34867,59
63113,59
20847,59
8804,59
12897,59
23953,59
24523,59
38753,59
38778,59
60169,59
60764,59
62062,59
1101,59
5524,59
8608,59
13720,59
15703,59
21221,59
28788,59
60015,59
206264,59
6731,59
8968,58
600,58
25605,58
3225,58
17670,58
17671,58
17884,58
45701,58
45727,58
55669,58
55679,58
10099,58
15516,58
25596,58
31424,58
44901,58
23352,58
262476,58
20225,58
28929,57
8315,57
9680,57
12732,57
13319,57
33597,57
35625,57
39647,57
8369,57
12678,57
17454,57
20621,57
21414,57
29030,57
33843,57
43267,57
56241,57
5410,57
29141,57
40992,57
9198,57
10223,57
4725,57
9730,57
766,56
9031,56
15426,56
44034,56
44431,56
45014,56
47836,56
134390,56
199139,56
199939,56
19271,56
29263,56
5605,56
8926,56
10158,56
57928,56
61382,56
24642,56
47172,56
51752,56
196752,56
57866,55
25899,55
10912,55
20766,55
21949,55
31673,55
34868,55
200478,55
4258,55
31078,55
8778,55
12849,55
38211,55
38758,55
43376,55
46055,55
55805,55
58404,55
10461,55
11179,55
15720,55
21478,55
24730,55
49285,55
55799,55
21574,55
28642,55
52579,55
263124,55
36937,55
3212,55
17639,54
31577,54
58073,54
59940,54
197156,54
42459,54
47147,54
55653,54
61031,54
12315,54
34106,54
41041,54
42735,54
48345,54
50266,54
62041,54
202120,54
203923,54
21396,54
28968,54
28306,54
264144,54
10201,54
45017,54
3302,53
6834,53
9115,53
12670,53
12684,53
29518,53
31383,53
41412,53
42567,53
51906,53
5409,53
10282,53
15743,53
17450,53
24526,53
38522,53
38896,53
45315,53
55967,53
133354,53
133797,53
197071,53
206313,53
201290,53
28669,53
263665,53
17408,53
43942,52
3910,52
11232,52
12179,52
12615,52
15965,52
27471,52
50837,52
51555,52
60725,52
198228,52
8587,52
6682,52
8339,52
8648,52
8879,52
15933,52
17886,52
24528,52
47626,52
49176,52
60280,52
133356,52
43293,52
22381,52
52551,52
9902,52
13367,52
33662,52
112,51
9211,51
20559,51
24586,51
34141,51
34772,51
47973,51
57023,51
58138,51
58682,51
8859,51
31800,51
4382,51
4855,51
24200,51
24204,51
29545,51
38145,51
39702,51
42431,51
62067,51
13157,51
9153,51
41405,51
43068,51
44608,51
56647,51
61200,51
203319,51
263903,51
8470,51
14259,51
10834,51
34756,50
42158,50
42455,50
49653,50
61319,50
23655,50
3265,50
306,50
5537,50
6876,50
15366,50
21336,50
24953,50
31200,50
39257,50
50324,50
42649,50
57043,50
1759,50
2518,50
33490,50
20912,49
9658,49
12042,49
33922,49
44053,49
46562,49
203366,49
12025,49
17054,49
12480,49
5539,49
8319,49
12693,49
13178,49
25560,49
46032,49
58010,49
58243,49
133352,49
719,49
13037,49
12570,49
14282,49
28158,49
262355,49
6429,49
8553,48
13876,48
26677,48
31543,48
34762,48
60718,48
200023,48
29037,48
29196,48
34602,48
35205,48
47215,48
51167,48
38090,48
41090,48
42794,48
48522,48
51088,48
56583,48
199660,48
24516,48
1237,48
29550,48
23201,48
28338,48
28666,48
53181,48
9293,48
22925,48
4621,48
9822,48
35753,48
20960,48
16150,48
132215,48
32425,47
49453,47
59507,47
59560,47
60522,47
264409,47
12360,47
12668,47
47119,47
15766,47
44980,47
45015,47
58952,47
133229,47
1251,47
26282,47
52468,47
52554,47
53242,47
262847,47
8615,47
9848,47
17621,47
7004,47
12189,46
27257,46
49463,46
50812,46
237,46
4812,46
7381,46
15672,46
15702,46
24211,46
38016,46
39927,46
42605,46
43793,46
44595,46
44964,46
5607,46
16298,46
4780,46
2519,46
12963,46
16814,46
17494,46
12271,46
6325,45
6898,45
6407,45
13977,45
15164,45
18747,45
29286,45
42416,45
44943,45
58601,45
61317,45
62206,45
5404,45
12808,45
12941,45
15960,45
17996,45
34086,45
35032,45
48190,45
58095,45
8469,45
11228,45
394424,45
29033,45
39309,45
199275,45
3249,45
28224,45
52752,45
264564,45
3462,45
5541,45
33650,45
5602,44
5430,44
6849,44
10010,44
13000,44
14717,44
15925,44
20459,44
25512,44
28889,44
39351,44
25182,44
8391,44
12316,44
29081,44
29670,44
49024,44
49218,44
50469,44
50533,44
61244,44
132164,44
198930,44
206892,44
28685,44
34754,44
6848,44
15835,44
27693,44
53158,44
263009,44
10143,44
38022,44
35819,44
12357,44
513,43
15447,43
20953,43
42965,43
13054,43
205668,43
394354,43
12722,43
25133,43
25279,43
43407,43
50020,43
51795,43
56357,43
196922,43
201701,43
203507,43
51483,43
15941,43
35280,43
43995,43
60319,43
199330,43
52770,43
53065,43
263073,43
31167,43
55824,43
8905,43
33652,43
43754,43
16713,42
5056,42
5610,42
12470,42
24679,42
32338,42
35699,42
48347,42
49964,42
202954,42
12510,42
28676,42
41033,42
41289,42
50169,42
198726,42
200187,42
202129,42
200537,42
14265,42
1126,42
5390,42
43366,42
44503,42
49820,42
202222,42
45903,42
27720,42
28126,42
52872,42
262375,42
262462,42
265377,42
25454,42
35549,42
6789,42
2153,41
20836,41
7850,41
8741,41
11403,41
12586,41
25956,41
44530,41
48152,41
48362,41
198385,41
202053,41
197038,41
8302,41
12440,41
25068,41
25374,41
28760,41
39279,41
44041,41
198018,41
28801,41
29278,41
43437,41
50655,41
62217,41
61400,41
28580,41
52840,41
53078,41
262733,41
262900,41
9931,41
25184,41
28303,41
1668,40
6894,40
8821,40
10733,40
22645,40
34788,40
39878,40
50083,40
51184,40
59675,40
62240,40
202885,40
6067,40
12931,40
13045,40
21367,40
35258,40
44172,40
48297,40
61266,40
199790,40
199841,40
203968,40
30960,40
40999,40
42624,40
59796,40
199332,40
8402,40
9268,40
11432,40
22689,40
28124,40
28173,40
262401,40
263405,40
33764,40
48484,40
10481,40
134809,40
28761,40
7500,39
8612,39
7162,39
9197,39
14745,39
31103,39
47372,39
50581,39
199421,39
12348,39
6659,39
12748,39
20633,39
20686,39
30833,39
33842,39
34892,39
51343,39
57530,39
201053,39
29933,39
1140,39
12871,39
28347,39
28359,39
28649,39
52610,39
262731,39
266131,39
48276,39
12479,39
58715,39
64302,39
28745,39
26105,39
58689,39
24637,38
2860,38
5500,38
9070,38
14744,38
15305,38
17511,38
20969,38
21161,38
24889,38
50023,38
198335,38
9022,38
16344,38
42437,38
43509,38
57041,38
62023,38
58495,38
45430,38
9264,38
21195,38
24582,38
11284,38
27715,38
28145,38
28191,38
53115,38
53145,38
262699,38
263321,38
265389,38
24631,38
3754,37
49360,37
56550,37
3112,37
2857,37
6503,37
30766,37
38930,37
44927,37
205460,37
262706,37
19009,37
15606,37
34230,37
34966,37
35526,37
38984,37
197965,37
44965,37
262493,37
37148,37
20552,37
2607,37
53059,37
53171,37
53202,37
61570,37
262434,37
262808,37
263057,37
58002,37
9255,37
8591,37
20161,36
3737,36
14742,36
16024,36
21488,36
25229,36
50343,36
61098,36
34895,36
12531,36
12923,36
16316,36
20783,36
57420,36
201213,36
43341,36
11486,36
59395,36
197692,36
2118,36
28202,36
28244,36
28624,36
52976,36
53180,36
263327,36
263558,36
20849,36
25081,36
45458,36
26592,36
50928,36
201776,36
47920,36
7311,35
34758,35
11260,35
15570,35
15935,35
22691,35
25818,35
42587,35
44600,35
50746,35
59655,35
62943,35
3908,35
39090,35
54700,35
35311,35
61438,35
197540,35
205530,35
6130,35
15693,35
20830,35
28165,35
28360,35
52974,35
262659,35
262848,35
263652,35
264861,35
266201,35
30733,35
29624,35
6886,35
8751,35
55330,35
35346,35
31263,34
4058,34
7459,34
8251,34
11758,34
17072,34
25795,34
29462,34
8636,34
200924,34
203536,34
8823,34
43190,34
50295,34
51313,34
56953,34
60890,34
6855,34
49800,34
15456,34
22616,34
14026,34
16685,34
28130,34
28178,34
28183,34
28292,34
28634,34
52824,34
262318,34
262688,34
262778,34
264332,34
264415,34
264574,34
264575,34
265330,34
17547,34
2588,34
17709,34
29053,34
198570,34
13004,34
20792,34
21476,34
27506,34
6983,34
2647,33
11798,33
14877,33
26744,33
32703,33
35425,33
42390,33
49367,33
51862,33
199947,33
199995,33
200062,33
38861,33
38915,33
197985,33
31029,33
39560,33
43537,33
62336,33
